unit_id,corp,etapa,etaj,etaj_eticheta,tip_apartament,nr_camere,su_utila,su_balcon,su_curte,orientare,pret_eur,pret_mp_eur,status,boxa_disponibila,parcare_subterana,cota_teren
C2-E2-06,C2,I,2,Etaj 2,2A,2,53.87,10.25,0.0,SE,82500,1531.0,disponibil,nu,da,82.1
C2-E2-07,C2,I,2,Etaj 2,3B,3,80.81,15.37,0.0,E,120500,1491.0,disponibil,nu,da,82.1
C2-E2-08,C2,I,2,Etaj 2,1A,1,38.85,7.39,0.0,S,59500,1532.0,disponibil,nu,da,82.1
C2-E2-09,C2,I,2,Etaj 2,3A,3,73.55,13.99,0.0,NV,110000,1496.0,disponibil,nu,da,82.1
C2-E2-10,C2,I,2,Etaj 2,2A,2,53.87,10.25,0.0,NV,80500,1494.0,disponibil,nu,da,82.1
C2-E2-11,C2,I,2,Etaj 2,2B,2,60.61,11.53,0.0,SV,92500,1526.0,rezervat,nu,da,82.1
C2-E3-01,C2,I,3,Etaj 3,3A,3,73.55,13.99,0.0,SE,114000,1550.0,vandut,nu,da,82.1
C2-E3-02,C2,I,3,Etaj 3,2B,2,60.61,11.53,0.0,N,92000,1518.0,disponibil,nu,da,82.1
C2-E3-03,C2,I,3,Etaj 3,2A,2,53.87,10.25,0.0,S,83500,1550.0,disponibil,nu,da,82.1
C2-E3-04,C2,I,3,Etaj 3,2B,2,60.61,11.53,0.0,NV,92000,1518.0,vandut,nu,da,82.1
C2-E3-05,C2,I,3,Etaj 3,3A,3,73.55,13.99,0.0,V,111500,1516.0,disponibil,nu,da,82.1
C2-E3-06,C2,I,3,Etaj 3,1A,1,38.85,7.39,0.0,SV,60500,1557.0,vandut,nu,da,82.1
C2-E3-07,C2,I,3,Etaj 3,2A,2,53.87,10.25,0.0,SV,83500,1550.0,disponibil,nu,da,82.1
C2-E3-08,C2,I,3,Etaj 3,2A,2,53.87,10.25,0.0,E,81500,1513.0,disponibil,nu,da,82.1
C2-E3-09,C2,I,3,Etaj 3,2A,2,53.87,10.25,0.0,SV,83500,1550.0,disponibil,nu,da,82.1
C2-E3-10,C2,I,3,Etaj 3,1A,1,38.85,7.39,0.0,S,60500,1557.0,disponibil,nu,da,82.1
C2-E3-11,C2,I,3,Etaj 3,2A,2,53.87,10.25,0.0,S,83500,1550.0,disponibil,nu,da,82.1
C2-E3-12,C2,I,3,Etaj 3,2B,2,60.61,11.53,0.0,V,92000,1518.0,disponibil,nu,da,82.1
C3-P-01,C3,I,0,Parter,2B,2,57.09,8.38,0.0,V,84000,1471.0,disponibil,da,nu,91.2
C3-P-02,C3,I,0,Parter,2B,2,57.09,8.38,0.0,NV,84000,1471.0,disponibil,da,nu,91.2
C3-P-03,C3,I,0,Parter,2A,2,50.75,0.0,34.5,S,76500,1507.0,rezervat,da,nu,91.2
C3-P-04,C3,I,0,Parter,1A,1,36.6,5.37,0.0,SE,55000,1503.0,disponibil,da,nu,91.2
C3-P-05,C3,I,0,Parter,1A,1,36.6,0.0,14.47,SV,55000,1503.0,disponibil,da,nu,91.2
C3-P-06,C3,I,0,Parter,3A,3,69.29,10.17,0.0,E,102000,1472.0,rezervat,da,nu,91.2
C3-P-07,C3,I,0,Parter,3B,3,76.12,11.18,0.0,SE,115000,1511.0,disponibil,da,nu,91.2
C3-P-08,C3,I,0,Parter,3B,3,76.12,11.18,0.0,S,115000,1511.0,disponibil,da,nu,91.2
C3-P-09,C3,I,0,Parter,2B,2,57.09,0.0,30.88,E,84000,1471.0,rezervat,da,nu,91.2
C3-P-10,C3,I,0,Parter,2A,2,50.75,7.45,0.0,V,75000,1478.0,vandut,da,nu,91.2
C3-P-11,C3,I,0,Parter,2B,2,57.09,0.0,36.17,NE,84000,1471.0,disponibil,da,nu,91.2
C3-P-12,C3,I,0,Parter,3B,3,76.12,0.0,46.18,NE,112000,1471.0,vandut,da,nu,91.2
C3-P-13,C3,I,0,Parter,1A,1,36.6,0.0,19.22,V,54000,1475.0,disponibil,da,nu,91.2
C3-P-14,C3,I,0,Parter,2B,2,57.09,8.38,0.0,S,86000,1506.0,vandut,da,nu,91.2
C3-P-15,C3,I,0,Parter,1A,1,36.6,0.0,17.59,E,54000,1475.0,disponibil,da,nu,91.2
C3-E1-01,C3,I,1,Etaj 1,3B,3,76.12,11.18,0.0,NV,114000,1498.0,rezervat,da,nu,91.2
C3-E1-02,C3,I,1,Etaj 1,3B,3,76.12,11.18,0.0,SE,116500,1530.0,rezervat,da,nu,91.2
C3-E1-03,C3,I,1,Etaj 1,2A,2,50.75,7.45,0.0,N,76000,1498.0,disponibil,da,nu,91.2
C3-E1-04,C3,I,1,Etaj 1,1A,1,36.6,5.37,0.0,NE,54500,1489.0,disponibil,da,nu,91.2
C3-E1-05,C3,I,1,Etaj 1,2A,2,50.75,7.45,0.0,V,76000,1498.0,disponibil,da,nu,91.2
C3-E1-06,C3,I,1,Etaj 1,1A,1,36.6,5.37,0.0,SV,56000,1530.0,vandut,da,nu,91.2
C3-E1-07,C3,I,1,Etaj 1,2A,2,50.75,7.45,0.0,SV,77500,1527.0,disponibil,da,nu,91.2
C3-E1-08,C3,I,1,Etaj 1,2B,2,57.09,8.38,0.0,SE,87500,1533.0,disponibil,da,nu,91.2
C3-E1-09,C3,I,1,Etaj 1,2A,2,50.75,7.45,0.0,NV,76000,1498.0,disponibil,da,nu,91.2
C3-E1-10,C3,I,1,Etaj 1,2A,2,50.75,7.45,0.0,NV,76000,1498.0,disponibil,da,nu,91.2
C3-E1-11,C3,I,1,Etaj 1,2A,2,50.75,7.45,0.0,S,77500,1527.0,disponibil,da,nu,91.2
C3-E1-12,C3,I,1,Etaj 1,3A,3,69.29,10.17,0.0,E,103500,1494.0,disponibil,da,nu,91.2
C3-E1-13,C3,I,1,Etaj 1,2A,2,50.75,7.45,0.0,S,77500,1527.0,disponibil,da,nu,91.2
C3-E1-14,C3,I,1,Etaj 1,1A,1,36.6,5.37,0.0,SV,56000,1530.0,rezervat,da,nu,91.2
C3-E1-15,C3,I,1,Etaj 1,3B,3,76.12,11.18,0.0,E,114000,1498.0,vandut,da,nu,91.2
C3-E2-01,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,SV,79000,1557.0,disponibil,da,nu,91.2
C3-E2-02,C3,I,2,Etaj 2,3A,3,69.29,10.17,0.0,NV,105000,1515.0,disponibil,da,nu,91.2
C3-E2-03,C3,I,2,Etaj 2,1A,1,36.6,5.37,0.0,NV,55500,1516.0,rezervat,da,nu,91.2
C3-E2-04,C3,I,2,Etaj 2,1A,1,36.6,5.37,0.0,S,57000,1557.0,disponibil,da,nu,91.2
C3-E2-05,C3,I,2,Etaj 2,2B,2,57.09,8.38,0.0,NE,86500,1515.0,disponibil,da,nu,91.2
C3-E2-06,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,E,77000,1517.0,disponibil,da,nu,91.2
C3-E2-07,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,S,79000,1557.0,disponibil,da,nu,91.2
C3-E2-08,C3,I,2,Etaj 2,3A,3,69.29,10.17,0.0,N,105000,1515.0,disponibil,da,nu,91.2
C3-E2-09,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,E,77000,1517.0,vandut,da,nu,91.2
C3-E2-10,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,S,79000,1557.0,disponibil,da,nu,91.2
C3-E2-11,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,NE,77000,1517.0,disponibil,da,nu,91.2
C3-E2-12,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,NE,77000,1517.0,vandut,da,nu,91.2
C3-E2-13,C3,I,2,Etaj 2,2B,2,57.09,8.38,0.0,SE,88500,1550.0,disponibil,da,nu,91.2
C3-E2-14,C3,I,2,Etaj 2,2A,2,50.75,7.45,0.0,N,77000,1517.0,vandut,da,nu,91.2
C3-E2-15,C3,I,2,Etaj 2,1A,1,36.6,5.37,0.0,SE,57000,1557.0,disponibil,da,nu,91.2
C3-E3-01,C3,I,3,Etaj 3,1A,1,36.6,5.37,0.0,NE,56500,1544.0,rezervat,da,nu,91.2
C3-E3-02,C3,I,3,Etaj 3,2B,2,57.09,8.38,0.0,S,90000,1576.0,disponibil,da,nu,91.2
C3-E3-03,C3,I,3,Etaj 3,3A,3,69.29,10.17,0.0,S,109000,1573.0,disponibil,da,nu,91.2
C3-E3-04,C3,I,3,Etaj 3,2B,2,57.09,8.38,0.0,S,90000,1576.0,disponibil,da,nu,91.2
C3-E3-05,C3,I,3,Etaj 3,1A,1,36.6,5.37,0.0,E,56500,1544.0,disponibil,da,nu,91.2
C3-E3-06,C3,I,3,Etaj 3,2B,2,57.09,8.38,0.0,NE,88000,1541.0,vandut,da,nu,91.2
C3-E3-07,C3,I,3,Etaj 3,2B,2,57.09,8.38,0.0,SE,90000,1576.0,disponibil,da,nu,91.2
C3-E3-08,C3,I,3,Etaj 3,2B,2,57.09,8.38,0.0,SE,90000,1576.0,rezervat,da,nu,91.2
C3-E3-09,C3,I,3,Etaj 3,1A,1,36.6,5.37,0.0,S,57500,1571.0,disponibil,da,nu,91.2
C3-E3-10,C3,I,3,Etaj 3,3A,3,69.29,10.17,0.0,SV,109000,1573.0,disponibil,da,nu,91.2
C3-E3-11,C3,I,3,Etaj 3,2B,2,57.09,8.38,0.0,SE,90000,1576.0,disponibil,da,nu,91.2
C3-E3-12,C3,I,3,Etaj 3,3A,3,69.29,10.17,0.0,SV,109000,1573.0,vandut,da,nu,91.2
C3-E3-13,C3,I,3,Etaj 3,3A,3,69.29,10.17,0.0,V,106500,1537.0,rezervat,da,nu,91.2
C3-E3-14,C3,I,3,Etaj 3,2B,2,57.09,8.38,0.0,SE,90000,1576.0,disponibil,da,nu,91.2
C3-E3-15,C3,I,3,Etaj 3,2A,2,50.75,7.45,0.0,NE,78000,1537.0,vandut,da,nu,91.2
C3-E3-16,C3,I,3,Etaj 3,2A,2,50.75,7.45,0.0,N,78000,1537.0,disponibil,da,nu,91.2
C4-P-01,C4,I,0,Parter,2B,2,57.09,8.71,0.0,S,85500,1498.0,disponibil,da,nu,88.2
C4-P-02,C4,I,0,Parter,1A,1,36.6,5.58,0.0,S,55000,1503.0,disponibil,da,nu,88.2
C4-P-03,C4,I,0,Parter,2A,2,50.75,7.74,0.0,E,74500,1468.0,disponibil,da,nu,88.2
C4-P-04,C4,I,0,Parter,1A,1,36.6,0.0,14.98,E,53500,1462.0,disponibil,da,nu,88.2
C4-P-05,C4,I,0,Parter,2A,2,50.75,0.0,26.02,E,74500,1468.0,rezervat,da,nu,88.2
C4-P-06,C4,I,0,Parter,2A,2,50.75,0.0,32.39,N,74500,1468.0,disponibil,da,nu,88.2
C4-P-07,C4,I,0,Parter,3B,3,76.12,0.0,41.82,SV,114000,1498.0,disponibil,da,nu,88.2
C4-P-08,C4,I,0,Parter,1A,1,36.6,5.58,0.0,NV,53500,1462.0,disponibil,da,nu,88.2
C4-P-09,C4,I,0,Parter,3B,3,76.12,0.0,49.06,N,111500,1465.0,disponibil,da,nu,88.2
C4-P-10,C4,I,0,Parter,2B,2,57.09,8.71,0.0,SE,85500,1498.0,vandut,da,nu,88.2
C4-P-11,C4,I,0,Parter,2A,2,50.75,7.74,0.0,S,76000,1498.0,disponibil,da,nu,88.2
C4-P-12,C4,I,0,Parter,2A,2,50.75,0.0,35.28,N,74500,1468.0,disponibil,da,nu,88.2
C4-P-13,C4,I,0,Parter,2A,2,50.75,0.0,31.25,S,76000,1498.0,disponibil,da,nu,88.2
C4-P-14,C4,I,0,Parter,3A,3,69.29,0.0,41.63,NE,101500,1465.0,disponibil,da,nu,88.2
C4-P-15,C4,I,0,Parter,3B,3,76.12,11.61,0.0,V,111500,1465.0,disponibil,da,nu,88.2
C4-E1-01,C4,I,1,Etaj 1,2B,2,57.09,8.71,0.0,E,85000,1489.0,disponibil,da,nu,88.2
C4-E1-02,C4,I,1,Etaj 1,2B,2,57.09,8.71,0.0,N,85000,1489.0,disponibil,da,nu,88.2
C4-E1-03,C4,I,1,Etaj 1,3A,3,69.29,10.57,0.0,V,103000,1487.0,disponibil,da,nu,88.2
C4-E1-04,C4,I,1,Etaj 1,2B,2,57.09,8.71,0.0,NV,85000,1489.0,disponibil,da,nu,88.2
C4-E1-05,C4,I,1,Etaj 1,2A,2,50.75,7.74,0.0,V,75500,1488.0,disponibil,da,nu,88.2
C4-E1-06,C4,I,1,Etaj 1,1A,1,36.6,5.58,0.0,SE,55500,1516.0,disponibil,da,nu,88.2
C4-E1-07,C4,I,1,Etaj 1,2B,2,57.09,8.71,0.0,V,85000,1489.0,disponibil,da,nu,88.2
C4-E1-08,C4,I,1,Etaj 1,2A,2,50.75,7.74,0.0,V,75500,1488.0,disponibil,da,nu,88.2
C4-E1-09,C4,I,1,Etaj 1,2A,2,50.75,7.74,0.0,S,77000,1517.0,disponibil,da,nu,88.2
C4-E1-10,C4,I,1,Etaj 1,3A,3,69.29,10.57,0.0,N,103000,1487.0,vandut,da,nu,88.2
C4-E1-11,C4,I,1,Etaj 1,2B,2,57.09,8.71,0.0,N,85000,1489.0,vandut,da,nu,88.2
C4-E1-12,C4,I,1,Etaj 1,3A,3,69.29,10.57,0.0,V,103000,1487.0,disponibil,da,nu,88.2
C4-E1-13,C4,I,1,Etaj 1,2B,2,57.09,8.71,0.0,SV,87000,1524.0,disponibil,da,nu,88.2
C4-E1-14,C4,I,1,Etaj 1,2A,2,50.75,7.74,0.0,NV,75500,1488.0,disponibil,da,nu,88.2
C4-E1-15,C4,I,1,Etaj 1,1A,1,36.6,5.58,0.0,NE,54500,1489.0,disponibil,da,nu,88.2
C4-E2-01,C4,I,2,Etaj 2,2B,2,57.09,8.71,0.0,NE,86000,1506.0,disponibil,da,nu,88.2
C4-E2-02,C4,I,2,Etaj 2,2A,2,50.75,7.74,0.0,SV,78500,1547.0,disponibil,da,nu,88.2
C4-E2-03,C4,I,2,Etaj 2,1A,1,36.6,5.58,0.0,NV,55000,1503.0,disponibil,da,nu,88.2
C4-E2-04,C4,I,2,Etaj 2,1A,1,36.6,5.58,0.0,S,56500,1544.0,disponibil,da,nu,88.2
C4-E2-05,C4,I,2,Etaj 2,3B,3,76.12,11.61,0.0,N,115000,1511.0,disponibil,da,nu,88.2
C4-E2-06,C4,I,2,Etaj 2,2A,2,50.75,7.74,0.0,E,76500,1507.0,disponibil,da,nu,88.2
C4-E2-07,C4,I,2,Etaj 2,3B,3,76.12,11.61,0.0,S,117500,1544.0,disponibil,da,nu,88.2
C4-E2-08,C4,I,2,Etaj 2,3B,3,76.12,11.61,0.0,SE,117500,1544.0,disponibil,da,nu,88.2
C4-E2-09,C4,I,2,Etaj 2,2A,2,50.75,7.74,0.0,NE,76500,1507.0,rezervat,da,nu,88.2
C4-E2-10,C4,I,2,Etaj 2,2B,2,57.09,8.71,0.0,SE,88000,1541.0,disponibil,da,nu,88.2
C4-E2-11,C4,I,2,Etaj 2,2B,2,57.09,8.71,0.0,NV,86000,1506.0,disponibil,da,nu,88.2
C4-E2-12,C4,I,2,Etaj 2,1A,1,36.6,5.58,0.0,N,55000,1503.0,rezervat,da,nu,88.2
C4-E2-13,C4,I,2,Etaj 2,2B,2,57.09,8.71,0.0,V,86000,1506.0,disponibil,da,nu,88.2
C4-E2-14,C4,I,2,Etaj 2,3A,3,69.29,10.57,0.0,NV,104500,1508.0,disponibil,da,nu,88.2
C4-E2-15,C4,I,2,Etaj 2,2B,2,57.09,8.71,0.0,NE,86000,1506.0,disponibil,da,nu,88.2
C4-E3-01,C4,I,3,Etaj 3,3A,3,69.29,10.57,0.0,V,106000,1530.0,disponibil,da,nu,88.2
C4-E3-02,C4,I,3,Etaj 3,2A,2,50.75,7.74,0.0,SV,79500,1567.0,disponibil,da,nu,88.2
C4-E3-03,C4,I,3,Etaj 3,1A,1,36.6,5.58,0.0,N,56000,1530.0,vandut,da,nu,88.2
C4-E3-04,C4,I,3,Etaj 3,3A,3,69.29,10.57,0.0,S,108500,1566.0,disponibil,da,nu,88.2
C4-E3-05,C4,I,3,Etaj 3,2B,2,57.09,8.71,0.0,NV,87500,1533.0,disponibil,da,nu,88.2
C4-E3-06,C4,I,3,Etaj 3,3A,3,69.29,10.57,0.0,E,106000,1530.0,disponibil,da,nu,88.2
C4-E3-07,C4,I,3,Etaj 3,2A,2,50.75,7.74,0.0,SE,79500,1567.0,vandut,da,nu,88.2
C4-E3-08,C4,I,3,Etaj 3,1A,1,36.6,5.58,0.0,NE,56000,1530.0,disponibil,da,nu,88.2
C4-E3-09,C4,I,3,Etaj 3,1A,1,36.6,5.58,0.0,NE,56000,1530.0,vandut,da,nu,88.2
C4-E3-10,C4,I,3,Etaj 3,1A,1,36.6,5.58,0.0,SE,57500,1571.0,disponibil,da,nu,88.2
C4-E3-11,C4,I,3,Etaj 3,1A,1,36.6,5.58,0.0,N,56000,1530.0,rezervat,da,nu,88.2
C4-E3-12,C4,I,3,Etaj 3,2A,2,50.75,7.74,0.0,E,77500,1527.0,disponibil,da,nu,88.2
C4-E3-13,C4,I,3,Etaj 3,2A,2,50.75,7.74,0.0,V,77500,1527.0,disponibil,da,nu,88.2
C4-E3-14,C4,I,3,Etaj 3,2B,2,57.09,8.71,0.0,S,89500,1568.0,disponibil,da,nu,88.2
C4-E3-15,C4,I,3,Etaj 3,2A,2,50.75,7.74,0.0,NV,77500,1527.0,disponibil,da,nu,88.2
C4-E3-16,C4,I,3,Etaj 3,2A,2,50.75,7.74,0.0,V,77500,1527.0,disponibil,da,nu,88.2
C5-P-01,C5,I,0,Parter,1A,1,37.61,5.95,0.0,E,55000,1462.0,disponibil,nu,da,85.2
C5-P-02,C5,I,0,Parter,3B,3,78.23,12.37,0.0,E,114000,1457.0,disponibil,nu,da,85.2
C5-P-03,C5,I,0,Parter,1A,1,37.61,0.0,23.56,NV,55000,1462.0,disponibil,nu,da,85.2
C5-P-04,C5,I,0,Parter,2A,2,52.16,8.25,0.0,E,76000,1457.0,disponibil,nu,da,85.2
C5-P-05,C5,I,0,Parter,3B,3,78.23,0.0,50.5,S,117000,1496.0,disponibil,nu,da,85.2
C5-P-06,C5,I,0,Parter,1A,1,37.61,0.0,25.12,E,55000,1462.0,rezervat,nu,da,85.2
C5-P-07,C5,I,0,Parter,3A,3,71.21,11.26,0.0,V,104000,1460.0,disponibil,nu,da,85.2
C5-P-08,C5,I,0,Parter,2B,2,58.68,0.0,38.88,NV,85500,1457.0,disponibil,nu,da,85.2
C5-P-09,C5,I,0,Parter,3A,3,71.21,11.26,0.0,V,104000,1460.0,disponibil,nu,da,85.2
C5-P-10,C5,I,0,Parter,2B,2,58.68,0.0,38.06,E,85500,1457.0,disponibil,nu,da,85.2
